Sr No,District,Block,UDISE Code,School Name,School Category,No of Toilets,Rate per Toilet (Bill)
1,"PURNIA","AMOUR",10090301806,"","HIGH SCHOOL",4,100
1,"PURNIA","AMOUR",10090305601,"GUNANAND M S BISHNUPUR","Middle School",3,50
2,"PURNIA","AMOUR",10090300204,"","HIGH SCHOOL",8,100
2,"PURNIA","AMOUR",10090312802,"KANYA M S MAITRA","Middle School",3,50
3,"PURNIA","AMOUR",10090300405,"","HIGH SCHOOL",8,100
3,"PURNIA","AMOUR",10090305201,"KANYA M S RANGAMATI","Middle School",4,50
4,"PURNIA","AMOUR",10090301101,"KANYA P S BELGACHHI","Primary School",2,50
4,"PURNIA","AMOUR",10090305603,"","JANTA HIGH SCHOOL",8,100
5,"PURNIA","AMOUR",10090305403,"U H S BALUTOL ISLAMPUR","High School",8,100
5,"PURNIA","AMOUR",10090307302,"KANYA P S DALMALPUR","Primary School",2,50
6,"PURNIA","AMOUR",10090302901,"KANYA P S JHAUWARI","Primary School",2,50
6,"PURNIA","AMOUR",10090308504,"U M S BAGHDHAR DHURPALLI","High School",8,100
7,"PURNIA","AMOUR",10090300118,"U M S BELKA","High School",8,100
7,"PURNIA","AMOUR",10090303902,"KANYA P S KHARAHIA","Primary School",3,50
8,"PURNIA","AMOUR",10090306502,"KANYA P S KHARI","Primary School",3,50
8,"PURNIA","AMOUR",10090309404,"U M V PARTIYA","High School",4,100
9,"PURNIA","AMOUR",10090303501,"KANYA P S MILKI","Primary School",4,50
9,"PURNIA","AMOUR",10090304303,"UCHH MADHYAMIK VIDAYALAYA DAHUABARI","High School",2,100
10,"PURNIA","AMOUR",10090308706,"UCHH MADHYAMIK VIDYALAYA BARBATTA","High School",2,100
11,"PURNIA","AMOUR",10090300115,"UCHH MADHYAMIK VIDYALAYA ADHANG","High School",2,100
11,"PURNIA","AMOUR",10090304701,"KANYA P S TELANGA","Primary School",4,50
12,"PURNIA","AMOUR",10090303304,"UCHH MADHYAMIK VIDYALAYA BARA IDGAH","High School",2,100
12,"PURNIA","AMOUR",10090309301,"KANYA U M S BASATPUR","Middle School",2,50
13,"PURNIA","AMOUR",10090301202,"UCHH MADHYAMIK VIDYALAYA BHWANIPUR","High School",2,100
13,"PURNIA","AMOUR",10090309401,"M S AAMGACHHI","Middle School",3,50
14,"PURNIA","AMOUR",10090303101,"M S ADHANG","Middle School",2,50
14,"PURNIA","AMOUR",10090306808,"UCHH MADHYAMIK VIDYALAYA GYANDOV","High School",4,100
15,"PURNIA","AMOUR",10090300101,"M S AMOUR","Middle School",8,50
